Insecta_Haematopis grataria
Arachnida_Peucetia viridans
Insecta_Abaeis nicippe
Mammalia_Lepus californicus
Amphibia_Gastrophryne carolinensis
Reptilia_Thamnophis marcianus
Arachnida_Nephila clavipes
Insecta_Danaus gilippus
Amphibia_Rana dalmatina
Reptilia_Uta stansburiana
Mollusca_Hermissenda crassicornis
Actinopterygii_Pterois volitans
Reptilia_Pantherophis emoryi
Amphibia_Hyla chrysoscelis
Mammalia_Sylvilagus floridanus
Mollusca_Doris montereyensis
Actinopterygii_Lepomis gibbosus
Amphibia_Plethodon cinereus
Mollusca_Phidiana hiltoni
Mollusca_Cryptochiton stelleri
Mollusca_Hermissenda opalescens
Reptilia_Ctenosaura similis
Arachnida_Latrodectus geometricus
Insecta_Apis mellifera
Animalia_Cancer productus
Aves_Cassiculus melanicterus
Mammalia_Odocoileus hemionus californicus
Amphibia_Lithobates catesbeianus
Amphibia_Lithobates sphenocephalus
Arachnida_Centruroides vittatus
Aves_Aegithalos caudatus
Actinopterygii_Micropterus salmoides
Animalia_Physalia physalis
Reptilia_Trachemys scripta elegans
Actinopterygii_Zanclus cornutus
Amphibia_Hyla versicolor
Reptilia_Sceloporus undulatus
Aves_Quiscalus quiscula
Mammalia_Ursus americanus
Arachnida_Uroctonus mordax
Reptilia_Micrurus tener
Mammalia_Tamiasciurus douglasii
Insecta_Dythemis fugax
Mammalia_Tamias striatus
Insecta_Plathemis lydia
Arachnida_Leucauge venusta
Animalia_Pisaster ochraceus
Mollusca_Triopha catalinae
Insecta_Argia moesta
Actinopterygii_Oncorhynchus mykiss
Mollusca_Ariolimax columbianus
Reptilia_Pantherophis alleghaniensis
Aves_Junco hyemalis oreganus
Actinopterygii_Salvelinus fontinalis
Reptilia_Sceloporus consobrinus
Animalia_Scolopendra polymorpha
Actinopterygii_Lepomis macrochirus
Aves_Oreothlypis celata
Actinopterygii_Lepomis cyanellus
Animalia_Pollicipes polymerus
Animalia_Aurelia aurita
Amphibia_Lithobates pipiens
Aves_Sturnus vulgaris
Amphibia_Lithobates sylvaticus
Aves_Motacilla cinerea
Arachnida_Argiope aurantia
Arachnida_Phidippus johnsoni
Aves_Acridotheres tristis
Mammalia_Procyon lotor
Insecta_Polistes dominula
Actinopterygii_Cyprinus carpio
Mollusca_Diaulula sandiegensis
Animalia_Dermasterias imbricata
Animalia_Anthopleura sola
Animalia_Callinectes sapidus
Mollusca_Leukoma staminea
Insecta_Olla v-nigrum
Mammalia_Lontra canadensis
Arachnida_Gasteracantha cancriformis
Aves_Larus californicus
Mammalia_Lepus europaeus
