Actinopterygii_Zanclus cornutus
Reptilia_Sceloporus consobrinus
Animalia_Physalia physalis
Mammalia_Lepus californicus
Arachnida_Argiope aurantia
Aves_Quiscalus quiscula
Insecta_Apis mellifera
Reptilia_Sceloporus undulatus
Animalia_Pisaster ochraceus
Amphibia_Hyla versicolor
Mollusca_Ariolimax columbianus
Actinopterygii_Oncorhynchus mykiss
Arachnida_Phidippus johnsoni
Arachnida_Latrodectus geometricus
Aves_Acridotheres tristis
Arachnida_Centruroides vittatus
Mollusca_Doris montereyensis
Aves_Oreothlypis celata
Insecta_Danaus gilippus
Actinopterygii_Salvelinus fontinalis
Mammalia_Lepus europaeus
Arachnida_Uroctonus mordax
Mollusca_Hermissenda crassicornis
Amphibia_Lithobates catesbeianus
Reptilia_Ctenosaura similis
Mammalia_Procyon lotor
Aves_Cassiculus melanicterus
Reptilia_Thamnophis marcianus
Actinopterygii_Micropterus salmoides
Insecta_Haematopis grataria
Animalia_Cancer productus
Insecta_Olla v-nigrum
Mammalia_Tamias striatus
Reptilia_Trachemys scripta elegans
Mammalia_Tamiasciurus douglasii
Actinopterygii_Pterois volitans
Amphibia_Plethodon cinereus
Reptilia_Micrurus tener
Mammalia_Lontra canadensis
Mammalia_Ursus americanus
Animalia_Callinectes sapidus
Arachnida_Nephila clavipes
Aves_Junco hyemalis oreganus
Animalia_Pollicipes polymerus
Mollusca_Triopha catalinae
Animalia_Aurelia aurita
Animalia_Anthopleura sola
Actinopterygii_Lepomis cyanellus
Mammalia_Odocoileus hemionus californicus
Mollusca_Cryptochiton stelleri
Arachnida_Peucetia viridans
Reptilia_Pantherophis emoryi
Amphibia_Gastrophryne carolinensis
Amphibia_Lithobates sylvaticus
Amphibia_Lithobates pipiens
Aves_Motacilla cinerea
Aves_Larus californicus
Amphibia_Rana dalmatina
Mollusca_Diaulula sandiegensis
Insecta_Abaeis nicippe
Reptilia_Pantherophis alleghaniensis
Insecta_Dythemis fugax
Amphibia_Hyla chrysoscelis
Actinopterygii_Lepomis gibbosus
Aves_Aegithalos caudatus
Actinopterygii_Lepomis macrochirus
Animalia_Scolopendra polymorpha
Animalia_Dermasterias imbricata
Insecta_Plathemis lydia
Arachnida_Leucauge venusta
Mammalia_Sylvilagus floridanus
Mollusca_Phidiana hiltoni
Insecta_Argia moesta
Arachnida_Gasteracantha cancriformis
Mollusca_Hermissenda opalescens
Mollusca_Leukoma staminea
Actinopterygii_Cyprinus carpio
Reptilia_Uta stansburiana
Amphibia_Lithobates sphenocephalus
Aves_Sturnus vulgaris
Insecta_Polistes dominula
