Aves_Cassiculus melanicterus
Reptilia_Sceloporus consobrinus
Arachnida_Leucauge venusta
Mammalia_Tamias striatus
Actinopterygii_Lepomis gibbosus
Insecta_Olla v-nigrum
Amphibia_Lithobates pipiens
Animalia_Aurelia aurita
Mollusca_Hermissenda crassicornis
Aves_Acridotheres tristis
Reptilia_Thamnophis marcianus
Arachnida_Argiope aurantia
Mammalia_Sylvilagus floridanus
Actinopterygii_Oncorhynchus mykiss
Insecta_Apis mellifera
Amphibia_Hyla chrysoscelis
Animalia_Dermasterias imbricata
Mollusca_Hermissenda opalescens
Aves_Quiscalus quiscula
Reptilia_Ctenosaura similis
Arachnida_Nephila clavipes
Mammalia_Ursus americanus
Actinopterygii_Cyprinus carpio
Insecta_Plathemis lydia
Amphibia_Plethodon cinereus
Animalia_Cancer productus
Mollusca_Phidiana hiltoni
Aves_Junco hyemalis oreganus
Reptilia_Pantherophis emoryi
Arachnida_Phidippus johnsoni
Mammalia_Lepus europaeus
Actinopterygii_Salvelinus fontinalis
Insecta_Polistes dominula
Amphibia_Lithobates catesbeianus
Animalia_Scolopendra polymorpha
Mollusca_Diaulula sandiegensis
Aves_Sturnus vulgaris
Reptilia_Uta stansburiana
Arachnida_Peucetia viridans
Mammalia_Lontra canadensis
Actinopterygii_Pterois volitans
Insecta_Abaeis nicippe
Amphibia_Hyla versicolor
Animalia_Callinectes sapidus
Mollusca_Triopha catalinae
Aves_Aegithalos caudatus
Reptilia_Pantherophis alleghaniensis
Arachnida_Uroctonus mordax
Mammalia_Tamiasciurus douglasii
Actinopterygii_Zanclus cornutus
Insecta_Haematopis grataria
Amphibia_Lithobates sylvaticus
Animalia_Pollicipes polymerus
Mollusca_Cryptochiton stelleri
Aves_Larus californicus
Reptilia_Sceloporus undulatus
Arachnida_Gasteracantha cancriformis
Mammalia_Procyon lotor
Actinopterygii_Micropterus salmoides
Insecta_Danaus gilippus
Amphibia_Gastrophryne carolinensis
Animalia_Pisaster ochraceus
Mollusca_Leukoma staminea
Aves_Motacilla cinerea
Reptilia_Micrurus tener
Arachnida_Centruroides vittatus
Mammalia_Lepus californicus
Actinopterygii_Lepomis cyanellus
Insecta_Dythemis fugax
Amphibia_Rana dalmatina
Animalia_Anthopleura sola
Mollusca_Ariolimax columbianus
Aves_Oreothlypis celata
Reptilia_Trachemys scripta elegans
Arachnida_Latrodectus geometricus
Mammalia_Odocoileus hemionus californicus
Actinopterygii_Lepomis macrochirus
Insecta_Argia moesta
Amphibia_Lithobates sphenocephalus
Animalia_Physalia physalis
Mollusca_Doris montereyensis
