Aves_Aegithalos caudatus
Aves_Cassiculus melanicterus
Aves_Quiscalus quiscula
Actinopterygii_Oncorhynchus mykiss
Arachnida_Phidippus johnsoni
Animalia_Pisaster ochraceus
Reptilia_Pantherophis emoryi
Insecta_Argia moesta
Reptilia_Trachemys scripta elegans
Mollusca_Diaulula sandiegensis
Mammalia_Procyon lotor
Aves_Oreothlypis celata
Aves_Larus californicus
Mollusca_Hermissenda opalescens
Insecta_Olla v-nigrum
Animalia_Pollicipes polymerus
Actinopterygii_Cyprinus carpio
Amphibia_Plethodon cinereus
Aves_Junco hyemalis oreganus
Amphibia_Lithobates pipiens
Mollusca_Cryptochiton stelleri
Actinopterygii_Micropterus salmoides
Actinopterygii_Pterois volitans
Mollusca_Leukoma staminea
Mollusca_Doris montereyensis
Reptilia_Sceloporus undulatus
Animalia_Scolopendra polymorpha
Mammalia_Lontra canadensis
Arachnida_Leucauge venusta
Insecta_Haematopis grataria
Mollusca_Hermissenda crassicornis
Arachnida_Latrodectus geometricus
Reptilia_Micrurus tener
Actinopterygii_Lepomis cyanellus
Insecta_Polistes dominula
Aves_Motacilla cinerea
Arachnida_Centruroides vittatus
Animalia_Aurelia aurita
Animalia_Physalia physalis
Arachnida_Peucetia viridans
Reptilia_Pantherophis alleghaniensis
Arachnida_Nephila clavipes
Arachnida_Uroctonus mordax
Animalia_Dermasterias imbricata
Amphibia_Lithobates catesbeianus
Amphibia_Gastrophryne carolinensis
Mammalia_Ursus americanus
Actinopterygii_Zanclus cornutus
Aves_Acridotheres tristis
Mammalia_Tamias striatus
Reptilia_Thamnophis marcianus
Actinopterygii_Lepomis macrochirus
Mammalia_Tamiasciurus douglasii
Reptilia_Uta stansburiana
Insecta_Apis mellifera
Arachnida_Gasteracantha cancriformis
Insecta_Abaeis nicippe
Animalia_Anthopleura sola
Mammalia_Sylvilagus floridanus
Mollusca_Phidiana hiltoni
Mammalia_Lepus europaeus
Mollusca_Triopha catalinae
Animalia_Cancer productus
Amphibia_Hyla chrysoscelis
Reptilia_Sceloporus consobrinus
Mollusca_Ariolimax columbianus
Actinopterygii_Lepomis gibbosus
Amphibia_Lithobates sylvaticus
Reptilia_Ctenosaura similis
Insecta_Plathemis lydia
Actinopterygii_Salvelinus fontinalis
Mammalia_Lepus californicus
Insecta_Dythemis fugax
Arachnida_Argiope aurantia
Amphibia_Hyla versicolor
Mammalia_Odocoileus hemionus californicus
Aves_Sturnus vulgaris
Animalia_Callinectes sapidus
Amphibia_Rana dalmatina
Insecta_Danaus gilippus
Amphibia_Lithobates sphenocephalus
