Aves_Sturnus vulgaris
Aves_Quiscalus quiscula
Aves_Oreothlypis celata
Aves_Motacilla cinerea
Aves_Larus californicus
Aves_Junco hyemalis oreganus
Aves_Cassiculus melanicterus
Aves_Aegithalos caudatus
Aves_Acridotheres tristis
Actinopterygii_Zanclus cornutus
Actinopterygii_Salvelinus fontinalis
Actinopterygii_Pterois volitans
Actinopterygii_Oncorhynchus mykiss
Actinopterygii_Micropterus salmoides
Actinopterygii_Lepomis macrochirus
Actinopterygii_Lepomis gibbosus
Actinopterygii_Lepomis cyanellus
Actinopterygii_Cyprinus carpio
Mollusca_Triopha catalinae
Mollusca_Phidiana hiltoni
Mollusca_Leukoma staminea
Mollusca_Hermissenda opalescens
Mollusca_Hermissenda crassicornis
Mollusca_Doris montereyensis
Mollusca_Diaulula sandiegensis
Mollusca_Cryptochiton stelleri
Mollusca_Ariolimax columbianus
Amphibia_Rana dalmatina
Amphibia_Plethodon cinereus
Amphibia_Lithobates sylvaticus
Amphibia_Lithobates sphenocephalus
Amphibia_Lithobates pipiens
Amphibia_Lithobates catesbeianus
Amphibia_Hyla versicolor
Amphibia_Hyla chrysoscelis
Amphibia_Gastrophryne carolinensis
Reptilia_Uta stansburiana
Reptilia_Trachemys scripta elegans
Reptilia_Thamnophis marcianus
Reptilia_Sceloporus undulatus
Reptilia_Sceloporus consobrinus
Reptilia_Pantherophis emoryi
Reptilia_Pantherophis alleghaniensis
Reptilia_Micrurus tener
Reptilia_Ctenosaura similis
Animalia_Scolopendra polymorpha
Animalia_Pollicipes polymerus
Animalia_Pisaster ochraceus
Animalia_Physalia physalis
Animalia_Dermasterias imbricata
Animalia_Cancer productus
Animalia_Callinectes sapidus
Animalia_Aurelia aurita
Animalia_Anthopleura sola
Mammalia_Ursus americanus
Mammalia_Tamiasciurus douglasii
Mammalia_Tamias striatus
Mammalia_Sylvilagus floridanus
Mammalia_Procyon lotor
Mammalia_Odocoileus hemionus californicus
Mammalia_Lontra canadensis
Mammalia_Lepus europaeus
Mammalia_Lepus californicus
Insecta_Polistes dominula
Insecta_Plathemis lydia
Insecta_Olla v-nigrum
Insecta_Haematopis grataria
Insecta_Dythemis fugax
Insecta_Danaus gilippus
Insecta_Argia moesta
Insecta_Apis mellifera
Insecta_Abaeis nicippe
Arachnida_Uroctonus mordax
Arachnida_Phidippus johnsoni
Arachnida_Peucetia viridans
Arachnida_Nephila clavipes
Arachnida_Leucauge venusta
Arachnida_Latrodectus geometricus
Arachnida_Gasteracantha cancriformis
Arachnida_Centruroides vittatus
Arachnida_Argiope aurantia
