Animalia_Anthopleura sola
Arachnida_Gasteracantha cancriformis
Mollusca_Doris montereyensis
Insecta_Polistes dominula
Arachnida_Centruroides vittatus
Insecta_Haematopis grataria
Mollusca_Hermissenda crassicornis
Actinopterygii_Zanclus cornutus
Actinopterygii_Salvelinus fontinalis
Arachnida_Nephila clavipes
Aves_Quiscalus quiscula
Amphibia_Lithobates sphenocephalus
Actinopterygii_Micropterus salmoides
Mollusca_Hermissenda opalescens
Animalia_Aurelia aurita
Aves_Sturnus vulgaris
Actinopterygii_Pterois volitans
Animalia_Pisaster ochraceus
Mammalia_Tamiasciurus douglasii
Aves_Oreothlypis celata
Animalia_Dermasterias imbricata
Amphibia_Rana dalmatina
Reptilia_Sceloporus consobrinus
Mammalia_Ursus americanus
Aves_Acridotheres tristis
Mollusca_Diaulula sandiegensis
Reptilia_Pantherophis alleghaniensis
Aves_Motacilla cinerea
Insecta_Apis mellifera
Aves_Cassiculus melanicterus
Animalia_Physalia physalis
Mollusca_Leukoma staminea
Mollusca_Phidiana hiltoni
Actinopterygii_Lepomis gibbosus
Arachnida_Peucetia viridans
Animalia_Cancer productus
Insecta_Argia moesta
Mammalia_Procyon lotor
Reptilia_Micrurus tener
Mollusca_Cryptochiton stelleri
Aves_Aegithalos caudatus
Mammalia_Tamias striatus
Arachnida_Latrodectus geometricus
Insecta_Olla v-nigrum
Arachnida_Phidippus johnsoni
Insecta_Dythemis fugax
Mammalia_Sylvilagus floridanus
Animalia_Scolopendra polymorpha
Reptilia_Trachemys scripta elegans
Amphibia_Gastrophryne carolinensis
Arachnida_Leucauge venusta
Actinopterygii_Cyprinus carpio
Aves_Junco hyemalis oreganus
Insecta_Abaeis nicippe
Mammalia_Lontra canadensis
Mollusca_Ariolimax columbianus
Actinopterygii_Oncorhynchus mykiss
Mammalia_Lepus californicus
Mammalia_Odocoileus hemionus californicus
Aves_Larus californicus
Reptilia_Thamnophis marcianus
Actinopterygii_Lepomis cyanellus
Actinopterygii_Lepomis macrochirus
Mammalia_Lepus europaeus
Amphibia_Lithobates sylvaticus
Reptilia_Sceloporus undulatus
Amphibia_Hyla chrysoscelis
Arachnida_Argiope aurantia
Insecta_Plathemis lydia
Mollusca_Triopha catalinae
Animalia_Pollicipes polymerus
Amphibia_Lithobates pipiens
Amphibia_Hyla versicolor
Reptilia_Pantherophis emoryi
Insecta_Danaus gilippus
Arachnida_Uroctonus mordax
Amphibia_Lithobates catesbeianus
Reptilia_Uta stansburiana
Reptilia_Ctenosaura similis
Amphibia_Plethodon cinereus
Animalia_Callinectes sapidus
