Amphibia_Plethodon cinereus
Actinopterygii_Lepomis gibbosus
Mammalia_Lepus californicus
Mollusca_Ariolimax columbianus
Mammalia_Lepus europaeus
Arachnida_Uroctonus mordax
Insecta_Haematopis grataria
Arachnida_Phidippus johnsoni
Reptilia_Sceloporus consobrinus
Aves_Aegithalos caudatus
Reptilia_Ctenosaura similis
Aves_Acridotheres tristis
Mammalia_Tamias striatus
Animalia_Scolopendra polymorpha
Insecta_Abaeis nicippe
Animalia_Anthopleura sola
Actinopterygii_Lepomis cyanellus
Mammalia_Odocoileus hemionus californicus
Reptilia_Pantherophis alleghaniensis
Animalia_Callinectes sapidus
Insecta_Dythemis fugax
Actinopterygii_Zanclus cornutus
Amphibia_Hyla chrysoscelis
Mollusca_Cryptochiton stelleri
Aves_Junco hyemalis oreganus
Arachnida_Leucauge venusta
Reptilia_Pantherophis emoryi
Animalia_Physalia physalis
Aves_Cassiculus melanicterus
Insecta_Polistes dominula
Mammalia_Sylvilagus floridanus
Reptilia_Sceloporus undulatus
Insecta_Danaus gilippus
Insecta_Argia moesta
Amphibia_Hyla versicolor
Actinopterygii_Salvelinus fontinalis
Mollusca_Hermissenda crassicornis
Actinopterygii_Micropterus salmoides
Actinopterygii_Oncorhynchus mykiss
Mollusca_Hermissenda opalescens
Insecta_Apis mellifera
Insecta_Olla v-nigrum
Mammalia_Lontra canadensis
Animalia_Aurelia aurita
Actinopterygii_Lepomis macrochirus
Animalia_Dermasterias imbricata
Mollusca_Diaulula sandiegensis
Arachnida_Centruroides vittatus
Actinopterygii_Cyprinus carpio
Reptilia_Uta stansburiana
Reptilia_Trachemys scripta elegans
Amphibia_Lithobates sphenocephalus
Arachnida_Nephila clavipes
Mammalia_Tamiasciurus douglasii
Actinopterygii_Pterois volitans
Mollusca_Doris montereyensis
Arachnida_Peucetia viridans
Aves_Sturnus vulgaris
Animalia_Pollicipes polymerus
Amphibia_Gastrophryne carolinensis
Mollusca_Triopha catalinae
Aves_Oreothlypis celata
Amphibia_Lithobates sylvaticus
Mollusca_Phidiana hiltoni
Amphibia_Lithobates pipiens
Aves_Motacilla cinerea
Reptilia_Thamnophis marcianus
Arachnida_Gasteracantha cancriformis
Reptilia_Micrurus tener
Animalia_Cancer productus
Aves_Larus californicus
Amphibia_Lithobates catesbeianus
Arachnida_Latrodectus geometricus
Mollusca_Leukoma staminea
Amphibia_Rana dalmatina
Mammalia_Ursus americanus
Animalia_Pisaster ochraceus
Aves_Quiscalus quiscula
Insecta_Plathemis lydia
Mammalia_Procyon lotor
Arachnida_Argiope aurantia
