Insecta_Apis mellifera
Actinopterygii_Lepomis cyanellus
Actinopterygii_Pterois volitans
Aves_Motacilla cinerea
Mollusca_Hermissenda opalescens
Arachnida_Gasteracantha cancriformis
Mammalia_Procyon lotor
Reptilia_Sceloporus consobrinus
Arachnida_Argiope aurantia
Arachnida_Peucetia viridans
Insecta_Dythemis fugax
Actinopterygii_Lepomis gibbosus
Insecta_Argia moesta
Animalia_Pisaster ochraceus
Mollusca_Leukoma staminea
Amphibia_Hyla versicolor
Animalia_Dermasterias imbricata
Amphibia_Rana dalmatina
Mammalia_Lontra canadensis
Reptilia_Micrurus tener
Aves_Aegithalos caudatus
Amphibia_Lithobates pipiens
Arachnida_Phidippus johnsoni
Mammalia_Sylvilagus floridanus
Mollusca_Diaulula sandiegensis
Aves_Junco hyemalis oreganus
Mammalia_Ursus americanus
Insecta_Polistes dominula
Mollusca_Ariolimax columbianus
Animalia_Callinectes sapidus
Actinopterygii_Zanclus cornutus
Insecta_Abaeis nicippe
Reptilia_Pantherophis alleghaniensis
Mammalia_Lepus europaeus
Reptilia_Trachemys scripta elegans
Animalia_Pollicipes polymerus
Amphibia_Plethodon cinereus
Reptilia_Uta stansburiana
Mammalia_Tamiasciurus douglasii
Arachnida_Latrodectus geometricus
Actinopterygii_Lepomis macrochirus
Amphibia_Lithobates catesbeianus
Animalia_Aurelia aurita
Actinopterygii_Oncorhynchus mykiss
Aves_Cassiculus melanicterus
Insecta_Danaus gilippus
Arachnida_Nephila clavipes
Arachnida_Uroctonus mordax
Amphibia_Lithobates sphenocephalus
Insecta_Olla v-nigrum
Insecta_Plathemis lydia
Mammalia_Lepus californicus
Mollusca_Phidiana hiltoni
Amphibia_Hyla chrysoscelis
Mollusca_Doris montereyensis
Mammalia_Tamias striatus
Aves_Quiscalus quiscula
Mollusca_Triopha catalinae
Animalia_Physalia physalis
Reptilia_Sceloporus undulatus
Reptilia_Ctenosaura similis
Aves_Larus californicus
Actinopterygii_Cyprinus carpio
Animalia_Scolopendra polymorpha
Actinopterygii_Micropterus salmoides
Aves_Oreothlypis celata
Arachnida_Leucauge venusta
Amphibia_Lithobates sylvaticus
Insecta_Haematopis grataria
Mammalia_Odocoileus hemionus californicus
Arachnida_Centruroides vittatus
Reptilia_Pantherophis emoryi
Reptilia_Thamnophis marcianus
Aves_Sturnus vulgaris
Animalia_Cancer productus
Mollusca_Cryptochiton stelleri
Mollusca_Hermissenda crassicornis
Animalia_Anthopleura sola
Amphibia_Gastrophryne carolinensis
Actinopterygii_Salvelinus fontinalis
Aves_Acridotheres tristis
