Animalia_Pisaster ochraceus
Actinopterygii_Pterois volitans
Mammalia_Procyon lotor
Reptilia_Ctenosaura similis
Arachnida_Centruroides vittatus
Insecta_Haematopis grataria
Mollusca_Leukoma staminea
Amphibia_Lithobates catesbeianus
Aves_Cassiculus melanicterus
Animalia_Cancer productus
Actinopterygii_Lepomis gibbosus
Mammalia_Ursus americanus
Reptilia_Pantherophis alleghaniensis
Arachnida_Latrodectus geometricus
Insecta_Argia moesta
Mollusca_Phidiana hiltoni
Amphibia_Lithobates sylvaticus
Aves_Sturnus vulgaris
Animalia_Pollicipes polymerus
Actinopterygii_Lepomis macrochirus
Mammalia_Lontra canadensis
Reptilia_Thamnophis marcianus
Arachnida_Argiope aurantia
Insecta_Danaus gilippus
Mollusca_Ariolimax columbianus
Amphibia_Hyla chrysoscelis
Aves_Acridotheres tristis
Animalia_Callinectes sapidus
Actinopterygii_Zanclus cornutus
Mammalia_Odocoileus hemionus californicus
Reptilia_Trachemys scripta elegans
Arachnida_Leucauge venusta
Insecta_Olla v-nigrum
Mollusca_Cryptochiton stelleri
Amphibia_Gastrophryne carolinensis
Aves_Quiscalus quiscula
Animalia_Scolopendra polymorpha
Actinopterygii_Cyprinus carpio
Mammalia_Tamias striatus
Reptilia_Sceloporus undulatus
Arachnida_Nephila clavipes
Insecta_Abaeis nicippe
Mollusca_Diaulula sandiegensis
Amphibia_Lithobates sphenocephalus
Aves_Aegithalos caudatus
Animalia_Dermasterias imbricata
Actinopterygii_Salvelinus fontinalis
Mammalia_Tamiasciurus douglasii
Reptilia_Pantherophis emoryi
Arachnida_Uroctonus mordax
Insecta_Apis mellifera
Mollusca_Doris montereyensis
Amphibia_Hyla versicolor
Aves_Junco hyemalis oreganus
Animalia_Physalia physalis
Actinopterygii_Oncorhynchus mykiss
Mammalia_Sylvilagus floridanus
Reptilia_Sceloporus consobrinus
Arachnida_Phidippus johnsoni
Insecta_Plathemis lydia
Mollusca_Hermissenda opalescens
Amphibia_Lithobates pipiens
Aves_Motacilla cinerea
Animalia_Anthopleura sola
Actinopterygii_Micropterus salmoides
Mammalia_Lepus europaeus
Reptilia_Micrurus tener
Arachnida_Peucetia viridans
Insecta_Polistes dominula
Mollusca_Hermissenda crassicornis
Amphibia_Rana dalmatina
Aves_Oreothlypis celata
Animalia_Aurelia aurita
Actinopterygii_Lepomis cyanellus
Mammalia_Lepus californicus
Reptilia_Uta stansburiana
Arachnida_Gasteracantha cancriformis
Insecta_Dythemis fugax
Mollusca_Triopha catalinae
Amphibia_Plethodon cinereus
Aves_Larus californicus
