Actinopterygii_Zanclus cornutus
Reptilia_Sceloporus consobrinus
Animalia_Physalia physalis
Reptilia_Ctenosaura similis
Arachnida_Argiope aurantia
Reptilia_Trachemys scripta elegans
Insecta_Apis mellifera
Reptilia_Sceloporus undulatus
Animalia_Dermasterias imbricata
Amphibia_Hyla versicolor
Mollusca_Ariolimax columbianus
Actinopterygii_Oncorhynchus mykiss
Arachnida_Phidippus johnsoni
Arachnida_Latrodectus geometricus
Aves_Acridotheres tristis
Arachnida_Centruroides vittatus
Mollusca_Doris montereyensis
Aves_Oreothlypis celata
Insecta_Danaus gilippus
Mammalia_Lepus californicus
Actinopterygii_Salvelinus fontinalis
Mammalia_Lepus europaeus
Arachnida_Uroctonus mordax
Mollusca_Hermissenda crassicornis
Mammalia_Lontra canadensis
Aves_Quiscalus quiscula
Aves_Cassiculus melanicterus
Animalia_Cancer productus
Insecta_Haematopis grataria
Amphibia_Lithobates catesbeianus
Insecta_Olla v-nigrum
Mammalia_Tamias striatus
Actinopterygii_Lepomis macrochirus
Reptilia_Uta stansburiana
Mammalia_Tamiasciurus douglasii
Actinopterygii_Pterois volitans
Reptilia_Thamnophis marcianus
Reptilia_Micrurus tener
Mammalia_Ursus americanus
Mammalia_Procyon lotor
Animalia_Callinectes sapidus
Arachnida_Nephila clavipes
Aves_Junco hyemalis oreganus
Animalia_Pollicipes polymerus
Mollusca_Triopha catalinae
Animalia_Aurelia aurita
Animalia_Anthopleura sola
Actinopterygii_Lepomis cyanellus
Mammalia_Odocoileus hemionus californicus
Mollusca_Cryptochiton stelleri
Arachnida_Peucetia viridans
Reptilia_Pantherophis emoryi
Amphibia_Gastrophryne carolinensis
Amphibia_Lithobates sylvaticus
Amphibia_Lithobates pipiens
Aves_Motacilla cinerea
Aves_Larus californicus
Amphibia_Rana dalmatina
Mollusca_Diaulula sandiegensis
Insecta_Abaeis nicippe
Reptilia_Pantherophis alleghaniensis
Insecta_Dythemis fugax
Amphibia_Hyla chrysoscelis
Actinopterygii_Lepomis gibbosus
Actinopterygii_Micropterus salmoides
Aves_Aegithalos caudatus
Animalia_Pisaster ochraceus
Animalia_Scolopendra polymorpha
Insecta_Plathemis lydia
Arachnida_Leucauge venusta
Mammalia_Sylvilagus floridanus
Mollusca_Phidiana hiltoni
Amphibia_Plethodon cinereus
Insecta_Argia moesta
Arachnida_Gasteracantha cancriformis
Mollusca_Hermissenda opalescens
Mollusca_Leukoma staminea
Actinopterygii_Cyprinus carpio
Amphibia_Lithobates sphenocephalus
Aves_Sturnus vulgaris
Insecta_Polistes dominula
